berita,tagging
Pemakaian Masker Menyebabkan Penyakit LegionnairesA caller to a radio talk show recently shared that his wife was hospitalized n told she had COVID n only a couple of days left to live . A doctor friend suggested she be tested for legionnaires disease because she wore the same mask every day all day long . Turns out it WAS legionnaires disease from the moisture n bacteria in her mask . She was given antibiotics n within two days was better . WHAT IF these ‘spikes’ in COVID are really something else due to ‘mask induced infections’ .??🤔🤔🤔,Hoax
Instruksi Gubernur Jateng tentang penilangan  bagi yg tidak bermasker di muka umum Rp.150.000 menggunakan e-tilang Via apps PIKOBARYth.Seluruh Anggota Grup Sesuai Instruksi Gubernur Jawa Tengah Hasil Rapat Tim Gugus Tugas Covid 19 Jateng sbb:,Hoax
"Foto Jim Rohn: Jokowi adalah presiden terbaik dlm sejarah bangsa IndonesiaJokowi adalah presiden terbaik dlm sejarah bangsa Indonesia. Jim Rohn, motivator terbaik dunia",Hoax
"ini bukan politik, tapi kenyataan Pak Jokowi berhasil memulangkan 11,000 Triliun uang negara dari Swiss.Maaf Mas2 dan Mbak2, ini bukan politik, tapi kenyataan Pak Jokowi berhasil memulangkan 11,000 Triliun uang negara dari Swiss. 11ribu Triliun siap di bawa balik ke Indonesia.RUU Treaty on Mutual Legal Assistance in Criminal Matters between the Republic of Indonesia and The Swiss Confederation (MLA RI-Swiss) resmi disahkan DPR RI tanggal 3 juli 2020. Dengan demikian proses konstitusi menarik dana di Swiss sudah selesai. Perjuangan yang panjang menghadapi ex koruptor yang bersenggama dengan agama. Terimakasih para kadrun yang terus nyinyirian kapan uang 11.000 triliun kembali ke Indonesia. Tanpa anda nyinyir, rasanya sulit RUU itu bisa disahkan oleh DPR. Pemilik 84 rekening gendut siap siap gigit jari . Mungkin tekanan ke Pak Jokowi makin kencang. ini baca beritanya",Hoax
Foto Kadrun kalo lihat foto ini panas dinginKadrun kalo lihat foto ini panas dingin . .,Hoax
"event promo smartphone JNE 2020 spesial di bulan juniselamat siang teman teman fb ku semuanya🤩,cuman mau memberi informasi dan rezeky gak kemana ya😊, kemarin saya mengikuti event promo smartphone JNE 2020 spesial di bulan juni ini dan saya mesan smartphone VIVO V15 PRO cuman seharga Rp.900.000-,gak nyangka cuma seharga Rp.900.000 aku bisa mendapat hp VIVO V15 PRO 😍,bagi teman teman fb ku yg penasaran atau mau ikutan INBOX AJA WA ADMINNYA 0823-7142-9***",Hoax
MEREKA SUDAH MEMPERSIAPKAN DIRI DENGAN BAIK UNTUK MENGUASAI NEGRI INI!LIHATLAH MEREKA SUDAH MEMPERSIAPKAN DIRI DENGAN BAIK UNTUK MENGUASAI NEGRI INI!,Hoax
Foto Presiden Italia menangis karena tak cukup lahan untuk mengubur 700an korban corona per hariItalia punya fasilitas perawatan kesehatan tercanggih tapi semuanya gagal mengendalikan corona karena awalnya itu hanya dianggap sekadar lelucon dan sekarang presiden mereka menangis karena tak cukup lahan untuk mengubur 700an korban corona per hari (mungkin hari ini sudah lebih dari 700).,Hoax
"Kapolres Timor Tengah Utara , Nusa Tenggara Timur  Beri Klarifikasi Terkait Video Polisi Diamkan Korban KecelakaanPolisi goblok. Bukanya cpet” d tolongin malah d liati aja",Hoax
"Video Polisi china telah menganiaya wanita uighur lehernya di cekik pake kakiPolisi china telah menganiaya wanita uighur lehernya di cekik pake kaki ,melek tu yg bilang tidak ada penganiayaan Dan Ham diam seribu bahasa … Seolah” polisi itu berkata liat nanti giliran anda sama orang di sekitarnya biadab",Hoax
"Akhirnya, Jokowi bersedia mengundurkan diriAkhirnya, Jokowi bersedia mengundurkan diri.
 Gue harus siap2 nih",Hoax
"Info Jalur Rawan Begal dan Himbauan Untuk Tidak Keluar Malam Oleh Kapolres CianjurBegal sudah mulai merambat ke wilayah CIANJUR…!!!
 Wilayah rewan begal antara lain, d harapkan waspada penuh terutama d malam hari…
 01. jalur gekbrong arah sukabmi…
 02. Cibeber dari arah campaka sampe
 cilaku.",Hoax
"Dirut PT Agung Podomoro Land Cosmas Batubara Meninggal DuniaTurut berduka cita atas
 meninggalnya Pejuang Angkatan 66 Bapak Cosmas Batubara hari Sabtu 27 Juli 2019 pukul 15.00 WIB. Semoga Yang Maha Kuasa mengampuni segala dosanya dan mendapat tempat yang layak disisi Nya.. Aamiin.",Hoax
"SBY Sudah Telepon Moeldoko Suruh Jokowi Akui KekalahanBantu sebar ya
Pak SBY sudah telpon Moeldoko, suruh JKW akui kekalahan. Ini info dari seorang jenderal… Jadi gak usah pada gusar & panik lagi ya pejuang-pejuang 02
INFO VALID",Hoax
Foto Anak Rohingya Disiksa KomunisRelakah anak cucu kita dibikin seperti anak2 rohingya ini ketika Komunis berkuasa…???,Hoax
"orang Cina punya KTP Cilacap atas nama KarsonoIni kejadian di PLN PLTU Cilacap Bunton Adipala, orang Cina tidak bisa berbahasa Indonesia apalagi bahasa jawa Banyumasan tp punya KTP Cilacap atas nama Karsono, payah kie Camat dan Bupatine
Kalau bener2 terjadi…😭😭😭",Hoax
Fadli Zon : Semua Warga Indonesia Yang Tidak Pilih Prabowo Di Pilpres 2019 Akan Kami Usir Dari IndonesiaFadlizon: Semua warga Indonesia yg tdk pilih Prabowo di Pilpres 2019 akan km usir dr Indonesia. Serius ini si Zonk?! https://t.co/jVjxC0jhmp,Hoax
"Pesan Berantai Undian Berhadiah Dari Kementerian Tenaga Kerja Untuk Pekerja Migran Indonesia  di HongkongINFORMASI RESMI DARI DEPNAKER REPUBLIK INDONESIA !!!!!
 Selamat Anda Terpilih Mendapatkan PENGHARGAAN sebesar NT $. 350.000 dari DEPARTEMEN KETENAGA KERJAAN INDONESIA. Sebagai Pahlawan Devisa Negara terbaik Tahun 2017-2018. Kode registrasi TWN37589
 Hubungi Call office:
 +62853-9313-1245
 A/n HARYONO
 Atau kunjungi Alamat Website:
 www.DEPNAKER.yolasite.com
 1. Bagi anda penerimah pemberitahuan ini melalui Telephone atau Sms Whatsapp. Berarti telah resmi mendapatkan penghargaan tersebut tanpa diundi lagi.
 2. Penghargaan Depnaker Bebas Biaya dan telah mendapat sertifikat Bebas pajak dari pemerintah Republik Indonesia.
 3. Pengurusan Penghargaan telah mendapat Pengawasan dari Kepolisian Negara Republik Indonesia dumaksudkan untuk menghindari hal-hal Negatif.
 Peringatan:
 HATI HATI PENIPUAN BILA DALAM PENGURUSAN ANDA DIMINTAI BIAYA, DARI OKNUM OKNUM YANG TIDAK BERTANGGUNH JAWAB. TANPA SEPENGETAHUAN DARI PIHAK DEPNAKER RI.
 pengirim:
 Depnaker Ri.
 73538373777",Hoax
Indonesia di Penuhi PKIHahhahhahahhaha indonesia di penuhi pki …gimanah nih pa kowi…..,Hoax
Sandi Sarankan Warga Ngadu ke Kelurahan SajaAstaga! Sandiaga Sarankan Warga Ngadu ke Kelurahan Saja Tak Perlu ke Balai Kota ,Valid
"Demo dan Konflik antara Ojek Online dengan Angkutan Umum di BandungPrediksi Besok Bandung kota. Besok Di sinyalir ada Dua Kubu besar 1.Demo lg besar”an 2.Ojek Online gabungan Mau Kumpul Minta Tggung jawab ke kubu Angkot Gabungan, Soalnya Di jl.bkr Grab ojek Di Tabrak Sngaja sampe Mati, Di buah batu grab Mati Jg Di Tabrak Angkot, Di karapitan Grab jg Di Gebukin Angkot, Ada jg ojek online Yg Hilang Ga ada kabar.....",Hoax
"Irina, Istri Ahli IT Hermansyah disebut Mantan PSKIrina, Istri Ahli IT Hermansyah disebut Mantan PSK",Valid
"Nezar Patria adalah Kader PKI, Ikut Rapat Setiap Malam di Istana Setelah Jam 8 Malam, Demikian Tuduhan dari Alfian TandjungNezar Patria adalah Kader PKI, Ikut Rapat Setiap Malam di Istana Setelah Jam 8 Malam, Demikian Tuduhan dari Alfian Tandjung",Valid
: Hati -hati Panggilan Telpon Nomor Tidak Dikenal !!Hati -hati Panggilan Telpon Nomor Tidak Dikenal !!,Hoax
"Larangan anti-miras di Minimarket ditiadakan oleh rezim Jokowi paska GobelPada 16 April lalu, Menteri Perdagangan Rachmat Gobel memberlakukan kebijakan larangan penjualan minuman beralkohol alias minuman keras di minimarket seluruh Indonesia. Namun, larangan yang tertuang dalam Peraturan Menteri Perdagangan (Permendag) Nomor 06/M-DAG/PER/1/2015 tentang Pengendalian dan Pengawasan terhadap Pengadaan, Peredaran, dan Penjualan Minuman Beralkohol itu kini akan diubah.",Hoax
Corona adalah hoaksCORONA IS A HOAX,Hoax
"Kapal Kargo Pengangkut Kadrun tenggelam di Laut China SelatanKapal Kargo dari Indonesia tujuan ke China dilaporkan tenggelam di Laut China Selatan pada Sabtu malam pukul 22:00 waktu setempat akibat kebocoran lambung Kapal. Kapal tersebut mengangkut Kadrun tujuan China dengan tujuan sebagai objek percobaan Vaksin Covid-19, dimana harga monyet di China sangat mahal sementara harga Kadrun bisa 10 kali lebih murah dari harga monyet. Sampai saat ini masih dalam penyelidikan Otoritas Tiongkok mengenai sebab kecelakaan fatal tersebut.",Hoax
"Foto Gubernur Anies sedang Makan dengan Sekumpulan Orang Jawa TulenTerlihat sekumpulan orang Jawa tulen yang sedang menyantap kuliner khas Jawa, berupa nasi samin, kebab, buaya panggang, dan minumannya tentu fifis onta segar.. Percakapan dari mereka pun memakai bahasa Jawa halus alias kromo inggil pula..Seperti, ana, akhi, antum, afwan, dan lain lain.. Hmmm, sungguh mengagumkan sekali bukan? Nb : Seng wani protes PKI.. Opo kowe Bong? ,",Hoax
Mulan Jameela Undur Diri dari DPR RINah Mundur lebih terhormat daripada di pecat !! Hayo yang lain Monggo mengundurkan diri saja kalau merasa tidak sanggup dan tidak becus kerjanya ..!!!,Hoax
"Video FKPPI dari Bandung sudah berkumpul di Monas, siap siaga apabila RUU HIP di-syahkan oleh DPR*FKPPI dari Bandung sudah berkumpul di Monas, siap siaga segala kemungkinan terjadi apabila RUU HIP di-syahkan oleh DPR.* *Revolusi jihad mati syahid atau hidup mulia, bela negara dari ancaman Komunisme..!*”",Hoax
30 Pembantu Baru Positif Corona di PenjaringanPembantu yang baru datang 30 Orang di tes semuanya positif Corona,Hoax
"Foto SUDJIATMI DISIKSA DI ALAM BARZAKHSUDJIATMI DISIKSA DI ALAM BARZAKH Hj. Sudjiatmi ( Ibu Presiden Jokowi) Tersiksa di alam kubur secara sadis, secara brutal dan sangat kejam. Tanpa ampunan. Disaat tgl. 25 april 2020 bulan lalu Jenazah H. Sudjiatmi di semayamkan ke alam kubur, entah tiba2 hanya seorang yang belum beranjak dari makamnya. Beliau ternyata Presiden Joko Widodo.",Hoax
"Berdamai dengan Corona yang Dimaksud Jokowi adalah Pemerintah Telah Kalah dan MenyerahASTAGHFIRULLAH, KEMARIN “BERSAMA KITA LAWAN VIRUS CORONA” SEKARANG “AYO KITA BERDAMAI DNGN VIRUS CORONA” ARTINYA PEMERINTAH TELAH KALAH DAN MENGIBARKAN BENDERA PUTIH TANDA MENYERAH.”",Hoax
"Penerima Stiker pada Pesan Whatsapp Dikenakan Sejumlah BiayaTahukah teman2 ku di group ini… Kenapa menggunakan stiker, menguntungkan pembuat nya,, Setiap stiker atau gambar yg saudaraku krmkan di wa ini pembayarannya dibebankan kpd yg menerima Rp.250,-.",Hoax
Foto  Mahfud MD Mengaku Mirip Ashraf Ingin Nikahi BCLMengaku Mirip Ashraf Pria ini Ingin Nikahi BCL,Hoax
"Telah diculik Umur anak 5 bulan, Kejadian d Angkot lebak bulus parung Ibunda si bayi dihipnotisTelah diculik Keponakan Dari ibu yulianah
 Umur anak 5 bulan
 Jenis kelamin perempuan
 Kejadian d Angkot lebak bulus parung
 Ibunda si bayi dihipnotis d Angkot, Diturunkan di pondok cabe oleh pelaku.penculikan
 Kejadian Hari sabtu 29feb 2020 sekitar jam 16.00",Hoax
"Virus Corona Sudah Sampai di Apartemen Taman AnggrekDapet Info dari Client, Virus Corona udah sampe sini. di Apartement TA udah ada org wuhan yg kena tp management tutup2i. Supaya mall bs beroperasi dan mrk ga rugi. barusan bgt dpt info dr client saya yg suaminya org cina, mrk ada komunitas org cina di indo dan mrk kasih tau utk jauhi apartement TA dan sekitarnya",Hoax
Presiden Cina Xi Jinping Mengunjungi Masjid dan Meminta Umat Islam Berdoa Untuk Negeri yang Sedang Dilanda KrisisPresiden Cina xi jinping mengunjungi masjid dan meminta umat Islam untuk berdoa di negara yang sedang dilanda krisis ini. Kami membutuhkan bantuan Anda.,Hoax
"Pesan Berantai Biaya Tilang BaruBIAYA tilang terbaru di indonesia: Kapolri baru mantap
 
 1. Tidak ada STNK
 
 Rp. 50,000
 
 2. Tdk bawa SIM
 
 Rp. 25,000
 
 3. Tdk pakai Helm
 
 Rp. 25,000",Hoax
Video Jokowi Mulai Pucat SBY Ungkap Pelaku Korupsi‘JOKOWI MULAI PUC4T’ SBY UNGK4P P3L4KU K0rup51 Jiwasraya Diduga Orang Belakang JOKOW1 (HEBOH),Hoax
All Jakarta Water ParkPERKENALKAN: ALL JAKARTA WATER PARK,Hoax
